Region,Employment Status,Income,Number of Child(ren),Tax,Religion,Gender
North,Self Employed,106.56,8,14.47,Christianity,Female
South,Unemployed,48.51,1,11.64,Islam,Male
West,Self Employed,126.72,6,11.5,Islam,Male
West,Unemployed,93.84,4,10.96,Islam,Female
West,Self Employed,143.13,1,9.12,Islam,Male
West,Self Employed,62.16,1,8.71,Islam,Female
East,Unemployed,65.16,6,8.67,Christianity,Male
East,Self Employed,65.16,6,8.57,Islam,Male
East,Self Employed,95.04,2,7.96,Islam,Female
South,Unemployed,48,1,7.92,Islam,Male
East,Self Employed,48,1,7.85,Islam,Female
East,Self Employed,40.62,2,7.28,Islam,Male
East,Self Employed,30.45,1,7.28,Islam,Male
West,Self Employed,128.37,1,7.17,Christianity,Female
West,Self Employed,96,2,7.05,Christianity,Male
East,Employed,48.93,1,6.9,Islam,Female
West,Employed,100.02,2,6.09,Christianity,Male
West,Employed,53.28,4,5.9,Christianity,Male
West,Self Employed,49.32,1,5.23,Christianity,Female
East,Self Employed,26.22,2,4.92,Islam,Male
West,Employed,56.58,1,4.73,Christianity,Female
East,Self Employed,48.45,1,4.54,Islam,Male
West,Employed,55.92,4,4.52,Christianity,Male
West,Employed,80.46,1,4.48,Christianity,Female
East,Unemployed,47.34,1,3.77,Christianity,Male
West,Employed,53.46,1,3.75,Christianity,Female
West,Employed,28.35,1,3.67,Islam,Male
West,Employed,52.92,1,3.47,Christianity,Male
West,Employed,28.56,4,3.28,Islam,Female
West,Self Employed,27.39,1,3.17,Islam,Male
West,Self Employed,48.45,1,2.85,Christianity,Female
West,Self Employed,40.2,4,2.64,Christianity,Male
West,Self Employed,46.32,1,2.64,Christianity,Male
West,Self Employed,65.7,6,2.59,Christianity,Female
East,Self Employed,21.48,2,2.4,Islam,Male
West,Self Employed,30.84,2,2.27,Christianity,Female
West,Employed,28.56,4,2.19,Christianity,Male
West,Employed,13.86,1,2.07,Islam,Male
West,Employed,14.37,1,2.01,Islam,Female
West,Employed,28.32,1,2,Christianity,Male
West,Self Employed,15.57,1,1.97,Christianity,Female
West,Self Employed,8.79,1,1.95,Christianity,Male
East,Self Employed,13.23,1,1.85,Christianity,Male
West,Self Employed,47.04,1,1.82,Christianity,Female
West,Self Employed,9.06,2,1.8,Traditional,Male
West,Self Employed,5.04,1,1.74,Islam,Female
West,Self Employed,16.32,2,1.63,Christianity,Male
West,Self Employed,18.66,1,1.61,Christianity,Male
West,Self Employed,7.26,1,1.52,Christianity,Female
West,Self Employed,4.89,1,1.47,Christianity,Male
East,Unemployed,14.7,1,1.46,Christianity,Female
North,Employed,15.72,2,1.41,Christianity,Male
West,Self Employed,13.68,1,1.24,Traditional,Male
West,Employed,40.29,1,3.79,Christianity,Female
West,Employed,45.72,1,1.77,Christianity,Male
West,Employed,51.24,4,1.31,Christianity,Female
North,Self Employed,50.04,1,6.78,Islam,Male
North,Self Employed,13.38,2,3.3,Islam,Male
North,Self Employed,2300.616,9,386.003,Islam,Female
West,Unemployed,1277.82,5,129.153,Christianity,Male
East,Self Employed,993.25408,7,109.642,Islam,Female
North,Self Employed,345.23736,6,103.941,Islam,Male
South,Self Employed,296.4884,5,100.933,Islam,Male
North,Self Employed,248.796,3,85.208,Islam,Female
East,Employed,683.256,7,82.193,Atheist,Male
West,Self Employed,919.26,5,77.438,Christianity,Female
West,Self Employed,755.0946,5,77.328,Islam,Male
West,Employed,413.904,4,74.397,Islam,Male
East,Employed,915.9,5,73.363,Christianity,Female
East,Self Employed,473.616,5,62.373,Islam,Male
South,Self Employed,384.34656,3,62.181,Christianity,Female
North,Self Employed,349.944,2,61.043,Islam,Male
East,Unemployed,364.392,6,47.285,Islam,Male
West,Self Employed,541.44,8,44.298,Christianity,Female
East,Employed,384.72,7,42.826,Christianity,Male
South,Self Employed,198.528,11,42.666,Atheist,Female
North,Employed,199.368,3,42.389,Islam,Male
West,Employed,179.496,3,41.136,Islam,Male
East,Self Employed,493.452,3,40.846,Christianity,Female
West,Employed,508.92,2,40.766,Christianity,Male
South,Self Employed,415.008,2,38.83,Christianity,Female
East,Self Employed,212.592,4,37.218,Islam,Male
West,Employed,268.848,4,34.723,Islam,Male
West,Self Employed,235.116,3,34.048,Islam,Female
South,Self Employed,273.384,6,32.747,Islam,Male
East,Employed,145.32,7,32.394,Atheist,Female
East,Unemployed,348.792,2,32.073,Islam,Male
East,Self Employed,313.69884,3,30.455,Christianity,Male
South,Self Employed,114.84,5,30.255,Islam,Female
East,Employed,221.712,4,29.63,Islam,Male
East,Unemployed,316.32,8,28.187,Christianity,Female
East,Self Employed,248.856,2,28.106,Christianity,Male
West,Employed,464.67,5,27.561,Christianity,Male
West,Unemployed,285.89184,3,26.722,Christianity,Female
West,Employed,204.624,4,25.76,Christianity,Male
East,Self Employed,249.72,5,25.606,Christianity,Female
South,Self Employed,124.056,3,25.334,Atheist,Male
North,Self Employed,160.956,3,25.038,Islam,Male
West,Unemployed,306.98928,4,24.857,Christianity,Female
East,Unemployed,236.376,3,24.248,Islam,Male
West,Self Employed,289.30044,3,23.078,Islam,Female
West,Unemployed,334.8,6,22.512,Christianity,Male
West,Self Employed,515.862,3,22.281,Christianity,Male
West,Employed,289.968,14,22.108,Christianity,Female
East,Unemployed,213.228,3,21.32,Christianity,Male
North,Self Employed,178.776,6,20.877,Islam,Female
West,Self Employed,291.024,2,20.301,Christianity,Male
West,Employed,314.91876,3,19.803,Christianity,Male
West,Self Employed,292.176,4,18.828,Christianity,Female
West,Unemployed,182.214,3,18.539,Christianity,Male
West,Self Employed,119.52,6,18.37,Islam,Female
West,Employed,422.352,2,18.112,Christianity,Male
West,Employed,368.532,2,17.343,Christianity,Male
South,Self Employed,47.1,5,16.895,Atheist,Female
East,Self Employed,286.9204,2,16.473,Christianity,Male
East,Self Employed,164.724,7,16.057,Christianity,Female
North,Employed,97.02,5,15.335,Christianity,Male
West,Self Employed,194.01512,2,13.923,Christianity,Male
West,Employed,127.50556,1,13.892,Christianity,Female
North,Self Employed,79.08,5,13.224,Islam,Male
West,Employed,132.72,7,13.115,Traditional,Female
South,Self Employed,63.504,6,12.792,Atheist,Male
East,Self Employed,100.272,2,12.42,Christianity,Male
South,Self Employed,144.732,7,11.49,Christianity,Female
West,Self Employed,92.052,3,11.05,Christianity,Male
West,Self Employed,79.884,3,10.438,Christianity,Female
West,Employed,64.824,2,10.394,Islam,Male
West,Self Employed,99.108,3,10.226,Christianity,Male
West,Self Employed,77.472,4,10.057,Islam,Female
West,Unemployed,109.848,2,10.023,Christianity,Male
South,Self Employed,42.72,4,9.861,Islam,Female
West,Employed,65.28,5,9.839,Islam,Male
North,Employed,44.784,6,9.826,Islam,Male
North,Self Employed,56.412,3,8.925,Atheist,Female
South,Self Employed,31.86,3,8.766,Christianity,Male
South,Self Employed,67.776,2,8.765,Atheist,Female
East,Self Employed,77.616,4,8.715,Christianity,Male
South,Self Employed,41.16,5,8.35,Islam,Male
South,Self Employed,37.44,3,7.914,Islam,Female
South,Self Employed,31.512,2,7.871,Islam,Male
North,Employed,27.936,4,7.802,Atheist,Female
West,Self Employed,82.8,6,7.658,Traditional,Male
North,Self Employed,44.736,8,7.632,Islam,Male
West,Employed,148.224,8,7.336,Christianity,Female
West,Self Employed,74.016,3,7.295,Christianity,Male
West,Employed,110.592,9,7.237,Christianity,Female
West,Self Employed,163.38,5,7.181,Christianity,Male
North,Employed,38.64,4,7.129,Islam,Male
West,Employed,113.664,2,7.059,Christianity,Female
South,Self Employed,24.024,2,6.738,Atheist,Male
West,Employed,88.224,4,6.524,Christianity,Female
West,Employed,127.68,4,6.478,Christianity,Male
East,Employed,38.64,4,6.013,Christianity,Male
West,Unemployed,62.4,5,5.884,Christianity,Female
West,Self Employed,97.656,2,5.619,Christianity,Male
West,Self Employed,81.66,5,5.478,Christianity,Female
North,Self Employed,47.268,3,5.437,Islam,Male
West,Self Employed,49.248,3,5.428,Christianity,Male
West,Self Employed,117.4472,2,5.393,Christianity,Female
North,Employed,21.408,4,5.192,Islam,Male
North,Employed,35.136,3,5.053,Islam,Female
West,Self Employed,64.44,2,4.905,Christianity,Male
South,Self Employed,96.6,5,4.481,Christianity,Male
West,Unemployed,45.408,4,4.271,Islam,Female
West,Self Employed,57.372,7,4.159,Christianity,Male
West,Self Employed,48.48,8,4.154,Christianity,Female
West,Self Employed,56.052,3,4.106,Christianity,Male
West,Unemployed,72.792,2,4.08,Christianity,Male
North,Self Employed,16.236,3,4.067,Islam,Female
West,Employed,46.488,2,3.936,Christianity,Male
West,Self Employed,68.796,3,3.858,Christianity,Female
East,Unemployed,48.312,6,3.688,Christianity,Male
West,Self Employed,49.704,2,3.632,Christianity,Male
West,Unemployed,108.576,8,3.601,Christianity,Female
West,Unemployed,44.568,3,3.502,Christianity,Male
West,Self Employed,31.248,4,3.468,Islam,Female
South,Self Employed,30.852,3,3.43,Christianity,Male
West,Self Employed,35.712,1,3.102,Christianity,Male
West,Employed,35.196,7,2.968,Traditional,Female
North,Self Employed,10.752,2,2.713,Islam,Male
West,Self Employed,63.696,4,2.668,Christianity,Female
West,Self Employed,20.052,3,2.623,Islam,Male
West,Self Employed,68.112,6,2.609,Christianity,Male
South,Self Employed,12.924,3,2.57,Islam,Female
North,Employed,13.752,6,2.5,Islam,Male
South,Self Employed,8.184,2,2.47,Atheist,Female
West,Unemployed,28.44,6,2.431,Christianity,Male
West,Unemployed,66.732,1,2.354,Christianity,Male
West,Self Employed,26.604,3,2.244,Christianity,Female
East,Employed,16.08,4,2.223,Islam,Male
North,Unemployed,42.72,4,2.218,Islam,Female
West,Self Employed,93.18,5,2.16,Christianity,Male
West,Self Employed,23.928,4,2.135,Islam,Male
West,Self Employed,30.072,7,2.014,Christianity,Female
East,Self Employed,44.82,3,1.998,Christianity,Male
West,Self Employed,21.924,3,1.947,Christianity,Female
East,Self Employed,9.744,4,1.938,Christianity,Male
West,Employed,33.12,5,1.926,Christianity,Male
West,Employed,16.092,3,1.899,Christianity,Female
East,Employed,11.58,1,1.836,Islam,Male
West,Self Employed,10.8,3,1.834,Christianity,Female
North,Employed,32.448,2,1.817,Christianity,Male
West,Self Employed,24.012,3,1.774,Christianity,Male
South,Self Employed,6.192,2,1.764,Christianity,Female
West,Self Employed,11.712,4,1.751,Islam,Male
West,Self Employed,12.456,2,1.743,Christianity,Female
West,Unemployed,50.76,3,1.713,Christianity,Male
East,Employed,11.172,1,1.71,Islam,Male
West,Self Employed,136.368,6,1.704,Christianity,Female
West,Self Employed,18.72,5,1.653,Christianity,Male
West,Employed,9.36,1,1.625,Islam,Female
West,Self Employed,8.76,2,1.6,Traditional,Male
East,Employed,24.384,4,1.578,Christianity,Male
North,Employed,22.788,3,1.558,Christianity,Female
West,Employed,22.848,4,1.545,Traditional,Male
West,Employed,39.552,2,1.52,Christianity,Female
West,Self Employed,6.318,3,1.505,Christianity,Male
West,Unemployed,26.928,4,1.481,Christianity,Male
South,Self Employed,8.904,1,1.476,Islam,Female
West,Self Employed,22.464,3,1.45,Christianity,Male
West,Employed,17.064,3,1.382,Islam,Female
West,Employed,2.496,1,1.358,Islam,Male
West,Self Employed,11.184,2,1.349,Traditional,Male
South,Self Employed,2.316,2,1.349,Atheist,Female
